api,num
CloseThreadWaitChainSession,931
CloseThreadpool,932
CloseThreadpoolCleanupGroup,933
CloseThreadpoolCleanupGroupMembers,934
CloseThreadpoolIo,935
CloseThreadpoolTimer,936
CloseThreadpoolWait,937
CloseThreadpoolWork,938
CloseTrace,939
CloseWindow,940
CloseWindowStation,941
ClrCreateManagedInstance,942
ClrQueueUserWorkItem,943
ClusWorkerCreate,944
ClusterCloseEnum,945
ClusterControl,946
ClusterEnum,947
ClusterGroupControl,948
ClusterNetInterfaceControl,949
ClusterNetworkEnum,950
ClusterNetworkGetEnumCount,951
ClusterNodeControl,952
ClusterNodeEnum,953
ClusterNodeOpenEnum,954
ClusterOpenEnum,955
ClusterRegCreateKey,956
ClusterRegDeleteKey,957
ClusterRegEnumKey,958
ClusterRegOpenKey,959
ClusterRegQueryInfoKey,960
ClusterRegQueryValue,961
ClusterRegSetKeySecurity,962
ClusterResourceCloseEnum,963
ClusterResourceControl,964
ClusterResourceOpenEnum,965
ClusterResourceTypeOpenEnum,966
CmAtolA,967
CmAtolW,968
CmBuildFullPathFromRelativeA,969
CmBuildFullPathFromRelativeW,970
CmCompareStringA,971
CmCompleteInitMachineConfig,972
CmFmtMsgA,973
CmFmtMsgW,974
CmFree,975
CmIsDigitA,976
CmIsDigitW,977
CmLoadIconA,978
CmLoadIconW,979
CmLoadSmallIconA,980
CmLoadSmallIconW,981
CmLoadStringW,982
CmMalloc,983
CmMoveMemory,984
CmParsePathW,985
CmReConnect,986
CmRealloc,987
CmRegisterCallback,988
CmSetInitMachineConfig,989
CmStrCatAllocW,990
CmStrCpyAllocA,991
CmStrCpyAllocW,992
CmStrchrA,993
CmStrrchrA,994
CmUnRegisterCallback,995
CmWinHelp,996
CmdBatNotification,997
CoAddRefServerProcess,998
CoAllowSetForegroundWindow,999
CoBuildVersion,1000
CoCancelCall,1001
CoCopyProxy,1002
CoCreateActivity,1003
CoCreateFreeThreadedMarshaler,1004
CoCreateGuid,1005
CoCreateInstance,1006
CoCreateInstanceEx,1007
CoCreateInstanceFromApp,1008
CoCreateObjectInContext,1009
CoDeactivateObject,1010
CoDecrementMTAUsage,1011
CoDisableCallCancellation,1012
CoDisconnectContext,1013
CoDisconnectObject,1014
CoDosDateTimeToFileTime,1015
CoEEShutDownCOM,1016
CoEnableCallCancellation,1017
CoEnterServiceDomain,1018
CoFileTimeNow,1019
CoFileTimeToDosDateTime,1020
CoFreeAllLibraries,1021
CoFreeLibrary,1022
CoFreeUnusedLibraries,1023
CoFreeUnusedLibrariesEx,1024
